x,gap_height_exp
-144.487,303.885
-138.549,277.661
-128.753,242.553
-111.597,217.964
-105.004,206.914
-98.176,212.834
-91.348,198.26
-86.598,201.732
-85.708,200.661
-79.177,207.645
-77.099,208.325
-71.259,204.862
-66.115,198.644
-61.068,206
-53.349,210.142
-51.271,217.536
-42.012,221.382
-35.559,206.24
-32.658,352.15
-15.351,367.607
-6.148,360.069
5.643,359.488
8.585,260.65
21.46,232.685
70.443,235.063
90.036,240.82
110.222,232.082
116.753,230.938
123.581,200.463
131.893,179.508
145.549,194.175
151.189,242.866
158.017,278.115
