x,pressure_sim
-192.049,14.51
-161.408,33.36
-143.799,72.94
-134.422,100.13
-123.033,149.2
-116.015,175.8
-109.032,217.19
-103.531,260.95
-97.661,273.95
-89.849,215.36
-87.383,170.99
-78.189,151.44
-68.909,218.86
-58.068,374.41
-55.815,419.37
-51.093,542.4
-45.871,579.66
-41.109,562.49
-32.519,548.27
-24.515,532.86
-19.114,494.99
-13.451,471.31
-8.077,444.67
1.748,407.96
11.534,387.23
24.632,366.16
38.746,359.35
52.043,351.03
60.824,340.23
73.052,326.13
82.231,312.49
90.544,291.17
102.979,273.39
112.398,282.83
117.215,242.59
120.613,178.69
124.643,97.63
128.143,45.56
141.394,2.34
