x,gap_height_sim
-150.476,344.221
-146.188,319.126
-140.254,296.003
-135.413,276.209
-129.221,253.032
-116.029,229.932
-91.045,215.395
-61.039,211.648
-28.668,211.755
-0.454,211.848
19.741,211.771
36.279,212.565
52.041,207.76
61.651,198.417
69.003,226.414
73.931,273.633
80.698,298.481
90.579,267.394
93.591,250.971
98.362,243.294
103.432,234.919
109.225,234.239
114.432,230.585
115.483,225.868
118.773,216.962
120.586,204.731
124.78,190.758
128.225,179.406
135.201,180.653
146.227,218.201
152.082,256.933
159.215,300.945
163.74,343.161
