x,gap_height_exp
-151.142,333.82
-149.507,326.112
-147.104,318.352
-144.814,305.197
-142.923,286.846
-139.344,272.872
-133.079,252.91
-126.041,218.685
-112.7,213.943
-101.393,211.98
-93.758,214.251
-89.936,212.062
-80.213,206.717
-71.884,209.227
-63.229,214.28
-53.826,212.097
-42.046,212.791
-34.984,214.967
-16.933,210.23
-1.241,206.037
13.681,209.308
30.953,212.176
34.093,212.179
52.933,211.246
70.203,212.214
81.943,214.417
89.043,212.231
106.317,217.002
110.921,221.991
119.657,211.309
123.208,199.55
125.383,191.25
125.914,180.887
131.283,167.671
135.33,176.141
137.528,185.413
139.095,197.678
142.995,205.795
146.12,217.874
147.938,237.961
150.31,259.833
151.146,272.029
151.463,279.011
152.405,288.634
152.889,309.39
153.191,297.126
154.611,320.335
157.114,334.299
