x,pressure_sim
-192.812,13.469
-168.707,27.27
-152.89,50.765
-140.943,78.188
-129.719,109.816
-120.687,148.8
-114.664,175.141
-108.635,203.06
-102.604,231.505
-93.403,258.099
-85.606,284.989
-75.724,308.574
-63.483,339.463
-49.695,348.482
-36.892,343.905
-25.696,345.95
-14.691,358.601
-3.705,377.077
6.313,385.48
19.817,383.876
44.097,370.496
63.817,346.395
75.17,328.882
87.077,309.869
94.068,294.868
99.309,283.2
110.453,279.078
114.385,282.668
116.641,263.453
119.035,219.708
120.407,152.753
127.302,67.594
132.491,23.2
141.967,2.363
