x,gap_height_sim
-152.553,339.007
-148.634,322.924
-136.827,267.831
-131.469,254.825
-125.521,241.134
-112.962,222.818
-93.757,215.099
-80.289,212.348
-66.241,210.28
-51.624,210.264
-26.468,208.185
-11.851,208.169
2.766,208.153
17.383,208.137
32.001,208.122
46.618,208.106
63.558,210.14
81.682,210.292
92.364,208.741
98.822,244.827
100.499,275.102
102.084,317.864
106.497,353.781
115.774,324.692
118.338,274.227
120.44,246.856
123.263,201.01
128.888,171.582
142.33,211.937
150.454,259.995
157.733,323.62
160.207,344.828
